Name, nodes, edges, density, max degree, avg degree, mode, sigma, median
BN-mouse,213,21807,0.480659,314,203.324,206,2134,206
BN-fly,1781,33641,0.0106057,16224,37.6283,1,152234,8
C500,500,112332,0.449328,468,449.328,449,44,449
ECON-BEAFLW,507,53403,0.207754,761,209.069,124,22619,161
ECON-BEACXC,497,50409,0.204078,680,201.227,97,21916,153
BIO-WormNet-v3,2445,78736,0.0131709,347,64.4057,85,2777,56
BIO-SC-GT,1716,33987,0.0115419,549,39.6119,1,2180,21
BIO-HS-LC,4227,39484,0.00220982,397,18.6818,1,1078,7
BIO-CE-PG,1871,47754,0.0136415,913,51.0465,1,5293,21
BIO-SC-HT,2084,63027,0.0145121,472,60.4866,1,7089,26
BIO-DM-CX,4040,76717,0.00470034,362,37.9787,1,2125,20
SC-PWTK,217891,5653221,0.000119074,179,51.8904,53,29,53
BIO-human-gene2,14340,9041364,0.0439679,7228,1259,0,93945,749
BIO-MOUSE-GENE,45101,14506196,0.00713151,8031,641.276,0,67272,234
SOC-SINAWEIBO,58655849,261321071,7.59542e-08,278491,8.91031,1,3,2
